,val/acc,val/f1,test/acc,test/f1,Task,Model,Subject,Category
362,0.6118420958518982,0.5890411138534546,0.4460431635379791,0.3840000033378601,LR,EEGNet,S27,C3
363,0.8653846383094788,0.8478260636329651,0.8186274766921997,0.8294931054115295,LR,EEGNet,S28,C1
364,0.8685445785522461,0.8666666746139526,0.8504672646522522,0.8558558821678162,LR,EEGNet,S29,C2
365,0.7325581312179565,0.7676767706871033,0.5567010045051575,0.60550457239151,LR,EEGNet,S3,C3
366,0.9777777791023254,0.9789029359817504,0.9662446975708008,0.9672130942344666,LR,EEGNet,S30,C1
367,0.5734265446662903,0.5960264801979065,0.565891444683075,0.5483871102333069,LR,EEGNet,S31,C3
368,0.7784090638160706,0.7607361674308777,0.7435897588729858,0.7727272510528564,LR,EEGNet,S32,C3
369,0.7577639818191528,0.7337278127670288,0.6577181220054626,0.6277372241020203,LR,EEGNet,S33,C3
370,0.84375,0.8502994179725647,0.8447204828262329,0.8603351712226868,LR,EEGNet,S34,C3
371,0.907216489315033,0.9090909361839294,0.8941798806190491,0.8969072103500366,LR,EEGNet,S35,C2
372,0.922374427318573,0.9264069199562072,0.9121338725090028,0.91566264629364,LR,EEGNet,S36,C1
373,0.943127989768982,0.9411764740943908,0.9264069199562072,0.9288703203201294,LR,EEGNet,S38,C1
374,0.9875776171684264,0.9870129823684692,0.9548386931419371,0.9554139971733092,LR,EEGNet,S39,C1
375,0.8913043737411499,0.8901098966598511,0.9090909361839294,0.9028571248054504,LR,EEGNet,S4,C1
376,0.6206896305084229,0.6530612111091614,0.7176470756530762,0.6363636255264282,LR,EEGNet,S40,C3
377,0.6464646458625793,0.6571428775787354,0.6267281174659729,0.5970149040222168,LR,EEGNet,S41,C2
378,0.5869565010070801,0.6226415038108826,0.4950495064258575,0.5048543810844421,LR,EEGNet,S42,C3
379,0.8928571343421936,0.8936170339584351,0.7760000228881836,0.7586206793785095,LR,EEGNet,S43,C1
380,0.631147563457489,0.6715328693389893,0.5454545617103577,0.6428571343421936,LR,EEGNet,S45,C2
381,0.7567567825317383,0.7567567825317383,0.6928104758262634,0.6967741847038269,LR,EEGNet,S47,C3
382,0.7428571581840515,0.7326732873916626,0.7289719581604004,0.7387387156486511,LR,EEGNet,S48,C3
383,0.9251700639724731,0.9299362897872924,0.8881579041481018,0.8903225660324097,LR,EEGNet,S49,C1
384,0.9939758777618408,0.9937106966972352,0.942307710647583,0.9343065619468688,LR,EEGNet,S5,C1
385,0.92380952835083,0.914893627166748,0.8963963985443115,0.8968609571456909,LR,EEGNet,S50,C1
386,0.8583333492279053,0.852173924446106,0.8252032399177551,0.8088889122009277,LR,EEGNet,S51,C1
387,0.8783783912658691,0.8732394576072693,0.843137264251709,0.8125,LR,EEGNet,S52,C1
388,0.905940592288971,0.91629958152771,0.8941798806190491,0.9056603908538818,LR,EEGNet,S53,C2
389,0.6687116622924805,0.6706587076187134,0.5508981943130493,0.5454545617103577,LR,EEGNet,S54,C3
390,0.782608687877655,0.7586206793785095,0.6068965792655945,0.6225165724754333,LR,EEGNet,S55,C3
391,0.6634615659713745,0.6601941585540771,0.630630612373352,0.594059407711029,LR,EEGNet,S56,C3
392,0.9536423683166504,0.95302015542984,0.9803921580314636,0.9813664555549622,LR,EEGNet,S57,C1
393,0.5962733030319214,0.6153846383094788,0.6331360936164856,0.6395348906517029,LR,EEGNet,S58,C3
394,0.5333333611488342,0.4946236610412597,0.4606741666793823,0.3846153914928436,LR,EEGNet,S6,C3
395,0.9689440727233888,0.970059871673584,0.95783132314682,0.9590643048286438,LR,EEGNet,S60,C1
396,0.7839999794960022,0.787401556968689,0.811475396156311,0.8244274854660034,LR,EEGNet,S61,C2
397,0.7019230723381042,0.6666666865348816,0.6990291476249695,0.6868686676025391,LR,EEGNet,S62,C3
398,0.676300585269928,0.6705202460289001,0.601190447807312,0.5442177057266235,LR,EEGNet,S7,C3
399,0.949999988079071,0.9527897238731384,0.9316239356994628,0.931034505367279,LR,EEGNet,S8,C1
400,0.9652174115180968,0.9689922332763672,0.9623430967330932,0.9644268751144408,LR,EEGNet,S9,C1
401,0.8670212765957447,0.8666988349614738,0.8426966292134831,0.8418957974925387,LR,riemann,S1,C2
402,0.7305389221556886,0.7304614490695159,0.7584269662921348,0.7583427758358796,LR,riemann,S10,C3
403,0.7736842105263158,0.7738045272671311,0.7318435754189944,0.7259593192554086,LR,riemann,S11,C2
404,0.8881987577639752,0.8881987577639752,0.7034883720930233,0.7020125905016122,LR,riemann,S12,C3
405,0.8547486033519553,0.8542577663420057,0.8397790055248618,0.8395045957719609,LR,riemann,S13,C3
406,0.859375,0.8595012995672645,0.8151658767772512,0.8150247091291714,LR,riemann,S14,C2
407,0.6473684210526316,0.6471632379555189,0.7611940298507462,0.7611585565931483,LR,riemann,S15,C2
408,0.832258064516129,0.8324539593356798,0.6987179487179487,0.6989038411439793,LR,riemann,S16,C3
409,0.8134328358208955,0.813339276759347,0.8205128205128205,0.8203347578347578,LR,riemann,S17,C3
410,0.6845637583892618,0.6845921799094322,0.6712328767123288,0.6659066590930106,LR,riemann,S18,C3
411,0.681592039800995,0.6816709005004697,0.7513513513513513,0.7509439214495394,LR,riemann,S19,C2
412,0.9858490566037736,0.9858423790806556,0.9433962264150944,0.9433811119228152,LR,riemann,S2,C1
413,0.9863013698630136,0.9862936450715832,0.979591836734694,0.9796071287598072,LR,riemann,S20,C1
414,0.7692307692307693,0.7692307692307693,0.8021978021978022,0.8025342004933842,LR,riemann,S21,C3
415,0.8350515463917526,0.8348409738977848,0.7647058823529411,0.7629718554088301,LR,riemann,S22,C3
416,0.9477611940298508,0.9476883609391556,0.9473684210526316,0.9473863097669398,LR,riemann,S23,C2
417,0.8928571428571429,0.8926082949308756,0.8659217877094972,0.8659217877094972,LR,riemann,S24,C3
418,0.9065934065934066,0.9069358663031964,0.9005847953216374,0.9004418253303178,LR,riemann,S25,C2
419,0.7942583732057417,0.7926713430558595,0.7857142857142857,0.785875076741172,LR,riemann,S26,C2
420,0.7763157894736842,0.7761604532163743,0.5611510791366906,0.554488086549394,LR,riemann,S27,C3
421,0.9423076923076924,0.9425011644154636,0.9019607843137256,0.901951360184562,LR,riemann,S28,C1
422,0.9061032863849764,0.9060784459845492,0.911214953271028,0.9113100516881858,LR,riemann,S29,C2
423,0.872093023255814,0.8718996243906337,0.7938144329896907,0.794034153329642,LR,riemann,S3,C3
424,0.92,0.9199651512751466,0.9620253164556962,0.9620239642013192,LR,riemann,S30,C1
425,0.6643356643356644,0.6646643603165343,0.5968992248062015,0.597771737306621,LR,riemann,S31,C3
426,0.8181818181818182,0.8177572297966694,0.75,0.7503548845012259,LR,riemann,S32,C3
427,0.7763975155279503,0.7751822846340805,0.7114093959731543,0.7113051033936623,LR,riemann,S33,C3
428,0.88125,0.8812175280284386,0.8260869565217391,0.8256255767247461,LR,riemann,S34,C3
429,0.9587628865979382,0.9587585034013606,0.9153439153439152,0.9154435889129768,LR,riemann,S35,C2
430,0.908675799086758,0.908526751386908,0.9330543933054394,0.9330543933054394,LR,riemann,S36,C1
431,0.8199052132701422,0.8199619079772438,0.8441558441558441,0.8441558441558441,LR,riemann,S38,C1
432,0.9316770186335404,0.9316505583952204,0.8838709677419355,0.883735348251477,LR,riemann,S39,C1
433,0.9347826086956522,0.9347439682220744,0.9518716577540108,0.951676744163382,LR,riemann,S4,C1
434,0.7241379310344828,0.7237722602113578,0.7529411764705882,0.7601979109400768,LR,riemann,S40,C3
435,0.7828282828282829,0.7827784156142364,0.7926267281105991,0.7918474123321408,LR,riemann,S41,C2
436,0.6630434782608695,0.6636412722083666,0.7722772277227723,0.7722772277227723,LR,riemann,S42,C3
437,0.9428571428571428,0.9428338144810894,0.888,0.8882871794871794,LR,riemann,S43,C1
438,0.8524590163934426,0.8522607086197779,0.8363636363636363,0.8363636363636363,LR,riemann,S45,C2
439,0.7094594594594594,0.7082497047493614,0.738562091503268,0.738562091503268,LR,riemann,S47,C3
440,0.8095238095238095,0.8097312999273784,0.7850467289719626,0.7842444507009967,LR,riemann,S48,C3
441,0.9183673469387756,0.9185263715875962,0.9276315789473684,0.9276786141878808,LR,riemann,S49,C1
442,0.9879518072289156,0.9879518072289156,0.9294871794871796,0.928703870436154,LR,riemann,S5,C1
443,0.8428571428571429,0.8427365756932613,0.8243243243243243,0.823905835999901,LR,riemann,S50,C1
444,0.8791666666666667,0.8791393150040918,0.8089430894308943,0.8089525622312598,LR,riemann,S51,C1
445,0.918918918918919,0.9188893002591632,0.9084967320261438,0.9085123682646902,LR,riemann,S52,C1
446,0.8861386138613861,0.8860908378879353,0.873015873015873,0.872260015117158,LR,riemann,S53,C2
447,0.6993865030674846,0.698818643501705,0.7365269461077845,0.7324953706693288,LR,riemann,S54,C3
448,0.7701863354037267,0.7694699865563586,0.7172413793103448,0.7163522436218644,LR,riemann,S55,C3
449,0.8942307692307693,0.8942405490949181,0.8108108108108109,0.8113701284432991,LR,riemann,S56,C3
450,0.9602649006622516,0.9602683861972812,0.954248366013072,0.954130373404466,LR,riemann,S57,C1
451,0.7267080745341615,0.7267080745341615,0.757396449704142,0.7550766934063808,LR,riemann,S58,C3
452,0.6333333333333333,0.6261511543549694,0.6966292134831461,0.6959959541766529,LR,riemann,S6,C3
453,0.9565217391304348,0.9565049631683752,0.9518072289156626,0.9517932295631328,LR,riemann,S60,C1
